,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
63,Gambia,GMB,3.6,Medium,81.0,-145.7,1.5,2.7,0.1,4.6,1.1,0.0,2.5,2.7,6.0,0.1,0.1,0.0,5.8,7.4,8.3,5.8,7.2,3.5,3.8,2.7,3.2,0.5,5.4,3.1,5.4,4.8,3.0,6.5,6.0,5.7,5.2,7.2,0.0,0.0,-27.32,1,0
64,Georgia,GEO,3.5,Medium,91.0,-150.7,2.6,4.5,7.2,6.1,0.0,0.0,5.9,3.9,5.1,0.1,0.2,0.0,5.0,2.9,1.2,3.0,6.2,6.6,9.1,0.5,0.6,1.7,1.1,1.0,3.2,4.4,4.7,4.1,1.7,1.3,1.3,2.4,3.0,0.06,-28.41,1,0
65,Germany,DEU,2.4,Low,143.0,-162.9,2.4,4.1,3.7,7.8,0.0,0.0,8.0,1.6,2.0,0.4,0.5,0.0,3.7,0.4,0.0,1.4,0.1,6.0,8.7,0.1,0.2,0.0,0.3,0.2,1.6,2.5,2.7,2.2,0.6,1.5,0.0,0.4,9.0,0.18,-31.0,1,0
66,Ghana,GHA,3.5,Medium,91.0,-144.8,2.2,3.2,0.1,4.6,1.7,0.0,4.3,0.6,7.5,1.1,1.5,0.0,4.0,5.2,6.6,5.9,1.8,2.5,3.0,3.5,3.1,0.0,1.0,2.0,4.8,4.5,3.4,5.5,5.1,3.1,6.5,5.7,0.0,0.0,-27.15,1,0
67,Greece,GRC,2.6,Low,132.0,-162.7,2.8,4.9,8.1,3.8,7.2,0.0,5.0,0.8,5.0,0.1,0.1,0.0,2.9,0.7,0.3,1.9,0.1,4.6,7.1,0.2,0.3,0.5,1.0,0.5,2.2,3.4,2.3,4.5,0.8,1.8,0.0,0.6,9.0,0.18,-30.95,1,0
68,Grenada,GRD,2.2,Low,154.0,-188.1,1.4,2.6,3.4,0.0,0.0,6.0,2.5,0.5,3.7,0.0,0.0,0.0,2.1,3.2,2.1,3.8670329670329675,5.4,0.9,0.0,0.1,1.2,0.0,5.0,1.8,3.7,4.8,4.7,4.9,2.5,2.3,0.6,4.5,19.0,0.37,-36.02,1,0
69,Guatemala,GTM,5.1,High,33.0,-151.7,4.1,5.8,9.5,4.2,6.8,3.7,3.7,3.5,5.3,1.8,2.6,0.0,6.1,5.7,6.9,6.1,2.8,6.5,7.1,1.0,2.5,10.0,3.2,5.9,5.3,6.3,5.5,7.1,4.2,3.1,4.3,5.1,4.0,0.08,-28.65,1,0
70,Guinea,GIN,4.5,Medium,50.0,-148.5,2.8,3.7,0.1,5.5,2.7,0.0,4.9,0.3,8.0,1.8,2.6,0.0,4.7,6.2,9.1,4.8,1.6,2.8,1.6,5.3,5.6,0.3,2.7,3.8,6.9,6.1,5.0,7.2,7.6,6.4,7.9,8.5,3.0,0.06,-28.0,1,0
71,Guinea-Bissau,GNB,3.9,Medium,74.0,-146.7,1.4,2.3,0.1,2.7,0.0,0.0,2.1,1.5,7.1,0.3,0.4,0.0,5.4,6.9,8.9,5.4,4.5,3.4,0.0,6.2,4.7,0.0,8.8,5.8,7.9,7.9,7.8,7.9,7.8,6.4,8.7,8.2,2.0,0.04,-27.61,1,0
72,Guyana,GUY,3.6,Medium,81.0,-157.0,2.4,4.2,0.1,6.9,2.5,0.0,7.0,3.8,5.3,0.1,0.1,0.0,4.0,3.8,3.4,6.1,2.4,4.1,5.7,3.7,2.1,1.1,0.6,2.0,4.7,5.8,4.227814569536424,5.8,3.4,2.3,4.1,3.9,6.0,0.12,-29.73,1,0
73,Haiti,HTI,7.2,Very High,9.0,-151.0,8.0,6.4,8.4,4.6,4.1,8.9,4.5,3.3,7.4,9.0,8.9,9.0,6.6,6.9,8.0,6.3,5.3,6.2,6.8,2.5,3.3,3.5,9.2,5.5,7.2,7.8,6.7,8.9,6.4,6.3,5.1,7.9,4.0,0.08,-28.52,0,1
74,Honduras,HND,4.8,Medium,40.0,-154.2,3.7,5.7,8.1,5.4,6.4,4.6,4.0,4.4,5.4,1.0,1.4,0.0,5.6,5.7,6.0,5.8,5.1,5.4,7.5,0.9,1.5,1.2,4.7,2.2,5.3,6.2,5.2,7.2,4.3,3.7,3.8,5.4,5.0,0.1,-29.16,1,0
75,Hungary,HUN,1.9,Very Low,166.0,-168.0,1.7,3.0,1.8,7.3,0.0,0.0,0.0,2.7,5.4,0.1,0.1,0.0,2.1,1.2,1.1,2.1,0.4,2.9,4.8,0.1,0.3,0.0,1.4,0.5,2.0,3.1,1.4,4.8,0.8,1.5,0.1,0.9,11.0,0.22,-32.05,1,0
76,Iceland,ISL,1.6,Very Low,179.0,-173.9,1.3,2.5,5.4,0.0,0.0,0.0,6.5,0.0,2.4,0.0,0.0,0.0,1.6,0.2,0.0,0.5,0.1,2.8,4.6,0.1,0.2,0.0,1.4,0.4,2.0,2.2,4.227814569536424,2.2,1.7,1.4,2.6,1.0,13.0,0.25,-33.25,1,0
77,India,IND,5.3,High,29.0,-152.7,7.4,7.7,8.3,9.2,7.8,7.7,7.7,4.4,7.4,7.0,10.0,0.0,4.7,4.3,6.1,4.6,0.4,5.0,6.4,2.4,4.7,0.2,4.6,3.2,4.2,3.5,1.8,5.2,4.8,4.1,4.2,6.0,4.0,0.08,-28.83,1,0
78,Indonesia,IDN,4.6,Medium,47.0,-150.7,6.7,7.3,8.9,8.3,9.3,1.5,8.1,2.2,7.0,6.1,8.7,0.0,3.3,3.3,4.1,4.6,0.2,3.3,4.4,2.6,2.8,0.6,1.7,2.0,4.4,4.4,3.3,5.4,4.3,2.1,4.0,6.8,3.0,0.06,-28.4,1,0
79,Iran,IRN,5.4,High,28.0,-193.9,7.4,6.6,9.3,7.3,5.5,1.6,7.4,4.8,6.5,8.0,10.0,8.0,4.8,2.6,2.5,5.1,0.2,6.5,8.9,0.1,1.0,1.9,2.1,1.3,4.5,5.8,4.4,7.1,2.9,1.7,3.6,3.5,7.0,0.14,-29.43,0,1
80,Iraq,IRQ,6.7,High,16.0,-189.3,8.6,5.6,5.0,9.5,0.0,0.0,4.5,6.8,6.9,10.0,10.0,10.0,5.5,3.9,5.0,4.3,1.2,6.7,8.8,0.3,1.4,3.9,4.1,2.6,6.5,8.1,8.4,7.7,4.0,3.4,3.1,5.6,5.0,0.1,-28.65,0,1
81,Ireland,IRL,1.7,Very Low,175.0,-168.6,1.2,2.2,0.1,3.6,1.8,0.0,5.9,0.6,1.5,0.0,0.0,0.0,2.4,0.3,0.0,1.1,0.0,4.1,6.6,0.2,0.2,0.0,0.0,0.1,1.6,2.2,4.227814569536424,2.2,1.0,1.7,0.5,0.8,11.0,0.22,-32.16,1,0
82,Israel,ISR,1.8,Very Low,172.0,-172.8,2.0,3.5,6.9,0.3,2.7,0.0,2.4,5.3,4.1,0.3,0.4,0.0,1.6,0.6,0.0,2.3,0.1,2.5,4.4,0.1,0.3,0.0,0.0,0.1,1.9,3.1,4.227814569536424,3.1,0.6,1.4,0.0,0.4,13.0,0.25,-33.05,1,0
83,Italy,ITA,2.5,Low,139.0,-163.2,2.9,5.0,7.7,6.2,6.2,0.0,6.5,2.3,2.6,0.1,0.2,0.0,2.6,0.5,0.1,1.7,0.1,4.3,6.8,0.1,0.2,0.1,0.2,0.2,2.1,3.4,2.4,4.4,0.6,1.5,0.0,0.4,9.0,0.18,-31.05,1,0
84,Jamaica,JAM,2.9,Low,116.0,-162.0,2.9,5.0,7.9,0.0,0.0,8.2,5.4,2.5,5.5,0.1,0.2,0.0,2.3,3.7,3.8,4.5,2.8,0.6,0.0,0.9,0.8,0.0,3.0,1.2,3.6,4.1,3.3,4.9,3.0,2.3,1.9,4.9,9.0,0.18,-30.83,1,0
85,Japan,JPN,2.3,Low,151.0,-161.8,5.5,8.3,9.7,7.8,10.0,9.2,9.4,0.6,3.5,0.1,0.2,0.0,1.5,0.4,0.0,1.6,0.0,2.4,3.6,0.1,0.5,0.0,2.8,0.9,1.5,2.2,1.9,2.5,0.8,1.2,0.1,1.1,9.0,0.18,-30.78,1,0
86,Jordan,JOR,3.8,Medium,76.0,-155.5,2.1,3.3,7.3,0.4,0.0,0.0,0.2,6.7,3.9,0.7,1.0,0.0,6.2,3.8,2.3,4.3,6.1,7.8,10.0,0.1,0.9,0.0,4.3,1.5,4.2,5.5,6.1,4.9,2.7,2.2,2.4,3.5,6.0,0.12,-29.46,1,0
87,Kazakhstan,KAZ,3.2,Medium,97.0,-184.4,6.4,4.0,5.6,7.6,0.0,0.0,0.0,6.1,3.9,8.0,0.2,8.0,1.4,1.0,1.3,1.4,0.1,1.8,3.0,0.6,0.6,0.1,0.2,0.4,3.6,4.8,3.8,5.7,2.2,1.2,3.5,1.9,3.0,0.06,-27.82,0,1
88,Kenya,KEN,6.6,High,19.0,-178.7,8.3,4.1,2.7,5.1,3.1,0.0,2.7,6.6,6.3,10.0,9.3,10.0,5.9,5.6,7.5,5.3,2.1,6.1,7.6,3.6,2.6,0.9,7.2,4.0,5.8,5.1,3.9,6.3,6.5,4.2,8.1,7.1,0.0,0.0,-26.81,0,1
89,Kiribati,KIR,3.7,Medium,78.0,-172.4,2.5,4.4,0.1,0.0,7.7,0.0,8.4,3.6,4.8,0.0,0.0,0.0,4.1,5.2,6.4,0.7,7.4,2.7,0.0,8.9,2.6,0.0,3.4,4.8,4.8,5.0,4.227814569536424,5.0,4.6,4.5,3.7,5.6,13.0,0.25,-32.97,1,0
90,Korea DPR,PRK,4.1,Medium,65.0,-170.0,2.7,4.5,4.4,6.4,0.9,5.7,6.3,3.5,2.9,0.3,0.4,0.0,3.8,4.6,6.9,3.8670329670329675,0.1,3.0,0.0,3.9,1.7,0.0,9.5,5.2,6.7,8.2,4.227814569536424,8.2,4.4,6.0,3.4,3.9,16.0,,-34.58,1,0
91,Korea Republic of,KOR,1.9,Very Low,166.0,-162.9,3.6,6.0,6.9,7.1,5.7,8.3,7.1,0.3,2.9,0.1,0.1,0.0,1.2,0.4,0.0,1.3,0.1,2.0,3.4,0.3,0.2,0.0,1.0,0.4,1.5,2.3,1.5,3.0,0.7,0.9,0.0,1.1,9.0,0.18,-31.0,1,0
92,Kuwait,KWT,2.5,Low,139.0,-174.1,1.4,2.3,0.1,3.7,0.0,0.0,5.2,1.6,3.6,0.3,0.4,0.0,3.0,1.7,1.4,4.1,0.0,4.2,6.7,0.2,0.7,0.0,0.6,0.4,3.7,5.5,4.227814569536424,5.5,1.2,0.7,1.6,1.3,13.0,0.25,-33.3,1,0
93,Kyrgyzstan,KGZ,3.1,Low,104.0,-150.1,2.6,3.9,7.7,4.7,0.0,0.0,0.0,5.4,5.0,1.1,1.6,0.0,2.7,3.4,2.6,3.0,5.4,2.0,2.7,1.7,0.9,0.1,2.1,1.2,4.2,5.3,3.7,6.9,2.9,1.5,3.3,3.9,3.0,0.06,-28.3,1,0
94,Lao PDR,LAO,3.5,Medium,91.0,-150.1,2.2,3.7,2.8,8.2,0.0,1.4,0.0,2.4,6.4,0.4,0.5,0.0,3.4,5.1,6.8,4.9,1.9,1.2,0.0,1.6,4.0,0.4,2.3,2.2,5.7,6.4,6.1,6.6,4.9,3.4,4.8,6.4,4.0,0.08,-28.34,1,0
95,Latvia,LVA,2.4,Low,143.0,-164.1,1.3,2.3,0.1,6.6,0.0,0.0,3.6,2.2,1.2,0.1,0.1,0.0,4.2,1.1,0.7,2.4,0.6,6.4,9.0,0.7,0.2,0.0,1.0,0.5,2.5,3.7,4.227814569536424,3.7,1.1,1.3,0.7,1.4,9.0,0.18,-31.22,1,0
96,Lebanon,LBN,4.1,Medium,65.0,-160.5,2.1,3.5,8.2,0.0,3.9,0.0,3.2,1.6,3.8,0.5,0.7,0.0,7.1,4.9,3.9,3.8,7.8,8.5,10.0,0.1,0.7,10.0,1.3,5.2,4.5,6.2,4.7,7.6,2.3,2.2,0.5,4.3,8.0,0.16,-30.49,1,0
97,Lesotho,LSO,3.6,Medium,81.0,-146.5,1.2,2.1,0.1,2.1,0.0,0.0,0.0,6.4,3.3,0.1,0.2,0.0,5.5,6.5,7.4,6.2,5.1,4.2,1.1,7.3,4.0,0.0,9.4,6.3,6.9,7.5,8.4,6.6,6.1,5.1,6.5,6.7,1.0,0.02,-27.51,1,0
98,Liberia,LBR,4.5,Medium,50.0,-146.1,2.1,3.8,0.1,7.4,2.4,0.0,4.1,0.6,7.3,0.1,0.2,0.0,5.7,7.2,8.7,5.6,5.9,3.7,1.4,5.8,4.1,0.1,8.7,5.5,7.8,7.6,4.227814569536424,7.6,8.0,7.7,7.7,8.5,2.0,0.04,-27.5,1,0
99,Libya,LBY,4.8,Medium,40.0,-159.5,4.0,3.3,1.4,0.6,5.4,0.0,5.4,5.0,3.0,4.6,6.6,0.0,4.0,3.0,3.4,3.5,1.6,4.9,7.3,0.5,1.7,0.0,1.5,0.9,6.8,8.4,4.227814569536424,8.4,4.4,6.3,3.5,3.4,10.0,0.2,-30.4,1,0
100,Liechtenstein,LIE,1.0,Very Low,190.0,-217.8,0.8,1.6,5.0,3.6,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.9,0.0,0.0,3.8670329670329675,0.0,1.7,3.0,0.1,0.0,0.0,0.4,0.1,1.4,2.0,4.227814569536424,2.0,0.7,1.4,0.0,0.8,27.0,0.53,-41.58,1,0
101,Lithuania,LTU,1.9,Very Low,166.0,-163.3,1.2,2.2,0.1,5.8,0.0,0.0,3.3,2.9,1.5,0.1,0.1,0.0,2.7,0.8,0.5,2.1,0.2,4.2,6.7,0.3,0.5,0.0,0.9,0.4,2.2,3.4,4.227814569536424,3.4,0.7,1.2,0.4,0.6,9.0,0.18,-31.06,1,0
102,Luxembourg,LUX,1.1,Very Low,189.0,-167.6,0.5,1.0,0.1,2.9,0.0,0.0,0.0,1.1,2.2,0.0,0.0,0.0,2.0,0.5,0.0,1.4,0.5,3.3,5.4,0.2,0.2,0.0,1.2,0.4,1.4,2.0,4.227814569536424,2.0,0.7,1.1,0.1,0.8,11.0,0.22,-31.98,1,0
103,Madagascar,MDG,5.5,High,27.0,-145.0,4.0,5.6,0.1,6.1,6.3,6.7,6.3,4.7,7.0,2.0,2.8,0.0,5.7,6.7,8.9,5.9,2.9,4.4,1.7,4.5,5.1,2.1,9.6,6.3,7.1,6.0,4.7,7.2,8.0,6.6,9.4,8.1,0.0,0.0,-27.19,1,0
104,Malawi,MWI,4.4,Medium,54.0,-145.5,2.2,3.9,6.1,4.7,0.0,0.0,0.0,6.0,6.5,0.2,0.3,0.0,6.2,6.3,8.3,5.4,3.3,6.0,5.0,5.9,3.0,10.0,4.1,6.9,6.3,5.3,4.0,6.6,7.1,7.4,7.5,6.5,0.0,0.0,-27.29,1,0
105,Malaysia,MYS,2.9,Low,116.0,-160.6,2.6,4.5,1.9,6.8,5.4,0.0,6.4,2.8,5.5,0.2,0.3,0.0,3.4,1.9,1.9,3.6,0.0,4.6,6.8,0.6,1.9,0.4,1.9,1.2,2.9,3.4,2.6,4.2,2.4,1.1,2.9,3.1,8.0,0.16,-30.51,1,0
106,Maldives,MDV,2.2,Low,154.0,-162.2,1.5,2.8,0.1,0.0,9.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.0,2.9,2.4,2.9,3.8,1.0,0.0,0.6,1.9,0.1,4.4,1.9,3.7,5.5,5.8,5.1,1.4,1.3,0.1,2.7,10.0,0.2,-30.91,1,0
107,Mali,MLI,6.8,Very High,15.0,-143.3,7.2,3.8,0.1,7.9,0.0,0.0,0.0,5.7,6.8,9.0,9.6,9.0,6.7,7.1,9.5,5.5,3.7,6.3,7.7,4.1,5.8,3.9,2.9,4.3,6.5,6.1,4.9,7.3,6.8,6.5,6.3,7.6,0.0,0.0,-26.86,0,1
108,Malta,MLT,1.7,Very Low,175.0,-170.2,0.9,1.7,0.1,0.0,5.8,0.0,0.7,0.0,3.2,0.0,0.0,0.0,2.1,0.5,0.0,1.9,0.2,3.4,5.4,0.1,0.4,0.0,2.5,0.8,2.6,4.1,4.227814569536424,4.1,0.8,1.6,0.0,0.8,12.0,0.24,-32.51,1,0
109,Marshall Islands,MHL,4.1,Medium,65.0,-173.7,2.5,4.4,0.1,0.0,6.8,1.8,8.5,4.6,3.5,0.0,0.0,0.0,4.3,5.2,5.2,2.6,7.9,3.2,0.0,7.0,2.5,5.3,6.2,5.5,6.3,7.7,7.3,8.0,4.2,3.7,1.4,7.4,16.0,0.31,-33.32,1,0
110,Mauritania,MRT,4.3,Medium,58.0,-146.2,2.3,4.0,0.4,6.1,1.1,0.0,4.4,6.6,6.1,0.2,0.3,0.0,5.6,6.3,8.3,5.2,3.2,4.8,6.8,1.2,4.1,0.3,1.8,2.0,6.1,5.8,4.8,6.8,6.4,4.6,7.1,7.4,1.0,0.02,-27.46,1,0
111,Mauritius,MUS,2.1,Very Low,157.0,-160.2,1.7,3.0,0.1,0.0,4.5,7.8,0.0,0.8,3.7,0.1,0.1,0.0,1.9,3.0,2.0,3.8,4.1,0.6,0.0,1.1,1.3,0.2,2.0,1.2,2.8,3.7,3.2,4.2,1.7,1.9,0.2,3.1,8.0,0.16,-30.45,1,0
112,Mexico,MEX,4.9,High,37.0,-152.7,6.8,6.5,8.2,7.8,5.5,7.1,6.3,3.3,5.6,7.0,10.0,7.0,4.0,3.2,3.7,4.6,0.6,4.8,7.3,0.8,1.0,0.0,0.9,0.7,4.4,5.7,5.1,6.3,2.8,2.2,3.0,3.2,4.0,0.08,-28.83,0,1
113,Micronesia,FSM,3.2,Medium,97.0,-178.1,1.7,3.1,0.1,0.0,5.9,2.3,3.1,5.4,2.7,0.0,0.0,0.0,3.8,5.3,5.4,3.8,6.7,1.9,0.0,4.2,1.9,0.0,6.2,3.4,5.1,5.4,6.0,4.8,4.8,5.6,2.7,6.0,17.0,0.33,-34.14,1,0
114,Moldova Republic of,MDA,3.1,Low,104.0,-152.8,1.8,3.2,5.8,4.5,0.0,0.0,0.0,4.6,4.9,0.1,0.1,0.0,3.9,2.9,2.4,1.5,5.2,4.7,7.2,1.1,0.8,0.0,0.9,0.7,4.4,6.1,6.2,6.0,2.1,1.9,1.4,2.9,6.0,0.12,-28.96,1,0
115,Mongolia,MNG,2.9,Low,116.0,-152.4,1.7,3.0,2.1,6.7,0.0,0.0,0.0,6.5,1.7,0.1,0.1,0.0,3.3,3.7,4.4,3.1,2.7,2.9,0.0,2.7,0.8,9.1,2.9,5.0,4.5,5.7,5.1,6.3,3.0,1.2,5.4,2.4,4.0,0.08,-28.77,1,0
116,Montenegro,MNE,2.7,Low,128.0,-154.4,1.7,3.1,5.5,1.3,6.1,0.0,3.0,1.6,2.3,0.1,0.1,0.0,3.6,2.9,2.0,2.3,5.3,4.3,6.8,0.2,0.5,0.0,0.2,0.2,3.1,4.7,4.0,5.3,1.2,0.8,0.7,2.2,5.0,0.1,-29.19,1,0
117,Morocco,MAR,3.6,Medium,81.0,-145.9,3.2,4.3,4.4,5.0,4.5,0.0,5.0,6.4,3.5,2.0,2.8,0.0,3.2,4.0,4.8,4.7,1.6,2.2,3.5,0.5,1.0,0.0,0.8,0.6,4.7,5.7,5.6,5.7,3.4,2.3,3.5,4.4,1.0,0.02,-27.4,1,0
118,Mozambique,MOZ,6.7,High,16.0,-146.8,6.1,5.0,3.3,6.0,3.8,2.7,5.5,5.7,6.7,7.0,9.8,7.0,7.9,7.7,9.3,7.3,4.7,8.0,8.8,8.2,4.4,5.9,7.9,6.9,6.2,4.6,2.1,7.0,7.4,7.5,8.0,6.6,1.0,0.02,-27.58,0,1
119,Myanmar,MMR,7.1,Very High,11.0,-184.5,9.0,7.2,8.2,8.8,8.3,5.8,8.0,0.6,6.8,10.0,10.0,10.0,6.1,5.1,7.4,4.0,1.7,6.9,9.0,3.3,3.8,1.7,1.9,2.7,6.6,7.5,7.1,7.8,5.4,3.6,5.2,7.4,3.0,0.06,-27.83,0,1
120,Namibia,NAM,3.8,Medium,76.0,-142.8,2.3,4.1,0.1,5.1,0.0,0.0,1.2,9.4,5.0,0.1,0.2,0.0,4.8,5.8,7.3,7.2,1.4,3.5,3.5,5.1,3.0,0.1,4.5,3.4,5.0,4.7,4.3,5.0,5.3,3.8,6.6,5.4,2.0,0.04,-26.88,1,0
121,Nauru,NRU,2.6,Low,132.0,-194.8,1.0,1.9,0.1,0.0,6.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,3.5,3.4,2.2,1.9,7.1,3.5,2.5,6.8,2.1,0.0,6.2,4.3,5.3,7.0,8.1,5.8,2.9,2.6,1.3,4.7,21.0,0.41,-37.28,1,0
122,Nepal,NPL,4.1,Medium,65.0,-150.5,3.2,5.1,9.8,6.9,0.0,0.0,0.0,2.9,6.6,0.6,0.8,0.0,4.1,5.3,6.5,4.0,4.2,2.7,3.6,2.3,3.2,0.1,1.4,1.8,5.4,6.1,5.4,6.7,4.5,3.7,4.4,5.3,3.0,0.06,-28.37,1,0
123,Netherlands,NLD,2.1,Very Low,157.0,-162.2,2.9,5.0,1.8,8.6,0.0,0.0,10.0,0.6,1.9,0.1,0.1,0.0,2.6,0.1,0.0,0.3,0.1,4.6,7.1,0.1,0.3,0.0,1.0,0.4,1.2,1.8,1.7,1.8,0.6,1.5,0.1,0.3,9.0,0.18,-30.86,1,0
124,New Zealand,NZL,1.4,Very Low,184.0,-171.4,2.1,3.8,6.0,3.7,5.4,1.8,4.4,2.1,2.2,0.0,0.0,0.0,0.8,0.3,0.0,1.2,0.1,1.3,1.9,0.1,0.4,0.3,1.8,0.7,1.8,2.2,2.6,1.8,1.4,1.6,2.0,0.7,12.0,0.24,-32.74,1,0
125,Nicaragua,NIC,4.1,Medium,65.0,-153.7,3.5,5.8,8.2,4.9,7.2,4.2,4.3,3.7,6.1,0.2,0.3,0.0,3.7,5.5,5.9,5.5,4.8,1.3,0.9,0.9,1.0,0.0,4.4,1.7,5.3,6.1,4.7,7.4,4.4,3.6,5.1,4.4,6.0,0.12,-29.12,1,0
126,Niger,NER,6.6,High,19.0,-146.0,5.3,3.4,0.1,6.6,0.0,0.0,0.0,5.0,7.1,6.7,9.5,0.0,7.6,7.5,10.0,5.6,4.5,7.6,8.2,3.7,8.3,8.8,3.8,6.8,7.3,5.9,5.2,6.5,8.3,8.2,9.7,7.1,2.0,0.04,-27.47,1,0
127,Nigeria,NGA,6.6,High,19.0,-143.2,7.4,4.6,0.1,8.2,0.0,0.0,6.4,2.2,8.2,9.0,10.0,9.0,6.4,5.6,7.8,5.8,1.0,7.0,8.2,5.3,6.3,4.9,4.2,5.2,6.2,5.0,2.7,7.3,7.1,5.3,6.6,9.3,0.0,0.0,-26.85,0,1
