,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
128,North Macedonia,MKD,2.2,Low,154.0,-157.9,1.7,3.0,6.5,4.2,0.0,0.0,0.0,2.4,4.8,0.1,0.1,0.0,1.7,2.1,1.7,2.0,3.0,1.2,1.6,0.1,0.3,1.0,1.8,0.8,3.6,4.7,3.8,5.6,2.3,1.9,1.7,3.3,7.0,0.14,-29.95,1,0
129,Norway,NOR,1.7,Very Low,175.0,-165.6,1.4,2.6,0.4,5.9,0.0,0.0,6.6,0.6,1.2,0.0,0.0,0.0,2.2,0.1,0.0,0.5,0.0,3.9,6.3,0.1,0.2,0.0,0.8,0.3,1.6,1.9,2.3,1.5,1.2,1.6,1.9,0.1,10.0,0.2,-31.56,1,0
130,Oman,OMN,2.5,Low,139.0,-160.3,2.7,4.7,0.1,2.1,9.0,3.8,5.6,1.1,5.7,0.1,0.1,0.0,1.4,1.9,1.7,4.0,0.1,0.9,1.0,0.1,1.7,0.0,1.0,0.7,4.1,5.4,4.227814569536424,5.4,2.4,1.2,3.5,2.5,8.0,0.16,-30.46,1,0
131,Pakistan,PAK,6.1,High,23.0,-147.8,7.2,7.3,9.2,9.5,6.1,7.1,4.4,3.0,7.7,7.0,10.0,0.0,5.9,5.3,7.9,4.2,1.3,6.4,7.6,1.7,5.0,6.9,4.8,4.9,5.3,5.3,4.0,6.6,5.2,5.5,4.8,5.4,3.0,0.06,-27.86,1,0
132,Palau,PLW,2.7,Low,128.0,-185.3,1.3,2.4,0.1,0.0,4.4,0.5,4.5,3.5,2.4,0.0,0.0,0.0,3.9,4.1,2.7,3.8670329670329675,6.8,3.7,0.0,0.5,1.2,10.0,6.2,6.2,4.1,5.8,5.9,5.6,1.8,1.4,1.4,2.6,19.0,0.37,-35.5,1,0
133,Palestine,PSE,3.7,Medium,78.0,-173.1,2.1,1.7,4.7,0.0,0.8,0.0,0.0,0.0,4.4,2.5,3.5,0.0,6.1,3.8,2.5,2.2,7.9,7.7,10.0,0.0,0.8,0.0,2.4,0.8,4.0,6.1,5.7,6.5,0.9,2.3,0.2,0.3,14.0,0.27,-33.15,1,0
134,Panama,PAN,3.6,Medium,81.0,-156.1,2.9,5.0,7.8,0.2,8.5,0.0,5.9,0.8,5.4,0.1,0.1,0.0,3.9,2.6,1.9,5.9,0.6,5.0,7.5,0.8,0.9,0.2,1.3,0.8,4.0,5.0,4.3,5.6,2.8,2.0,3.8,2.7,7.0,0.14,-29.61,1,0
135,Papua New Guinea,PNG,6.7,High,16.0,-154.0,6.6,6.1,9.2,4.6,7.1,2.8,6.3,2.5,6.5,7.0,6.8,7.0,6.0,6.5,8.1,7.0,2.6,5.4,6.2,5.1,4.8,0.2,6.5,4.5,7.6,6.8,6.7,6.9,8.3,7.3,9.6,7.9,7.0,0.14,-29.22,0,1
136,Paraguay,PRY,2.7,Low,128.0,-152.1,1.5,2.6,0.1,5.6,0.0,0.0,0.0,4.1,5.4,0.3,0.4,0.0,2.9,3.6,4.2,5.2,0.8,2.2,3.1,1.3,0.9,0.6,1.4,1.1,4.3,5.2,3.7,6.7,3.3,1.9,3.0,5.1,4.0,0.08,-28.72,1,0
137,Peru,PER,4.8,Medium,40.0,-157.0,4.8,6.4,9.6,6.5,9.1,0.0,3.3,3.7,5.2,2.7,3.8,0.0,5.2,3.3,4.1,4.5,0.5,6.7,9.1,0.9,0.8,2.1,2.2,1.5,4.3,4.8,3.6,6.0,3.8,2.1,4.4,4.9,6.0,0.12,-29.73,1,0
138,Philippines,PHL,5.3,High,29.0,-150.5,7.7,8.2,9.7,6.7,9.4,9.2,8.9,3.3,6.3,7.0,9.3,7.0,4.6,3.6,4.6,4.8,0.5,5.5,4.9,3.9,3.1,10.0,1.6,6.1,4.2,4.7,3.5,5.8,3.7,2.2,2.7,6.3,3.0,0.06,-28.37,0,1
139,Poland,POL,2.5,Low,139.0,-164.4,1.5,2.8,0.7,5.9,0.0,0.0,5.7,1.9,2.6,0.1,0.2,0.0,3.6,0.6,0.5,1.2,0.3,5.8,8.5,0.1,0.3,0.0,0.7,0.3,2.9,4.4,4.3,4.5,1.1,1.3,0.0,2.1,10.0,0.2,-31.33,1,0
140,Portugal,PRT,2.0,Very Low,164.0,-160.7,1.8,3.2,3.4,3.8,4.3,0.0,4.6,2.9,2.7,0.1,0.1,0.0,2.2,0.9,0.7,1.7,0.3,3.3,5.4,0.4,0.2,0.0,0.6,0.3,1.9,3.0,2.6,3.4,0.6,1.7,0.0,0.1,8.0,0.16,-30.52,1,0
141,Qatar,QAT,1.4,Very Low,184.0,-164.9,0.9,1.7,0.1,0.0,0.0,0.0,3.5,4.3,2.9,0.1,0.1,0.0,1.2,1.2,0.9,2.9,0.1,1.2,1.7,0.4,0.4,0.0,1.5,0.6,2.6,4.1,4.7,3.5,0.8,1.1,0.2,1.0,12.0,0.24,-31.52,1,0
142,Romania,ROU,2.6,Low,132.0,-163.0,2.0,3.5,6.0,6.1,0.0,0.0,2.9,1.9,5.0,0.1,0.2,0.0,2.7,1.8,1.6,3.1,0.7,3.5,5.8,0.4,0.5,0.0,0.2,0.3,3.3,4.7,3.8,5.5,1.5,1.5,0.9,2.2,9.0,0.18,-31.02,1,0
143,Russian Federation,RUS,4.4,Medium,54.0,-167.7,5.4,5.1,4.2,8.4,4.2,2.2,5.3,5.4,3.6,5.6,8.0,0.0,3.6,1.5,1.6,2.8,0.0,5.2,7.8,0.5,0.4,0.0,0.8,0.4,4.4,6.3,4.227814569536424,6.3,1.8,0.7,3.6,1.0,12.0,0.24,-32.05,1,0
144,Rwanda,RWA,4.2,Medium,62.0,-143.4,2.5,2.8,4.0,2.6,0.0,0.0,0.0,4.3,6.1,2.2,3.2,0.0,5.9,6.5,8.1,5.0,4.6,5.3,6.4,3.1,2.4,0.4,7.7,4.0,5.0,3.9,3.0,4.7,6.0,5.7,6.1,6.1,0.0,0.0,-26.88,1,0
145,Saint Kitts and Nevis,KNA,1.9,Very Low,166.0,-196.3,1.6,3.0,3.6,0.0,0.0,8.6,0.0,0.0,2.8,0.0,0.0,0.0,1.4,1.9,2.5,3.8670329670329675,0.6,0.9,0.0,0.0,1.1,0.0,5.0,1.8,3.0,4.1,4.0,4.2,1.8,2.1,0.3,2.9,21.0,0.41,-37.55,1,0
146,Saint Lucia,LCA,2.8,Low,124.0,-162.8,1.9,3.5,4.4,0.0,0.0,8.0,2.6,0.5,4.8,0.0,0.0,0.0,3.0,4.5,3.5,5.9,5.0,1.2,0.0,0.0,1.3,1.5,5.0,2.2,4.0,5.1,5.2,4.9,2.8,2.5,0.8,5.2,11.0,0.22,-31.08,1,0
147,Saint Vincent and the Grenadines,VCT,2.6,Low,132.0,-185.0,1.8,3.3,4.8,0.0,0.0,7.8,1.8,0.5,4.1,0.0,0.0,0.0,3.0,4.7,3.0,5.2,7.4,0.8,0.0,0.2,1.1,3.4,1.4,1.6,3.4,4.2,4.227814569536424,4.2,2.4,2.3,0.8,4.1,17.0,0.33,-35.43,1,0
148,Samoa,WSM,3.0,Low,110.0,-167.6,1.7,3.2,4.4,0.0,4.2,6.3,0.0,0.5,4.2,0.0,0.0,0.0,3.7,5.7,4.6,4.5,8.9,1.0,0.0,4.9,1.1,0.0,1.2,2.0,4.1,4.4,4.6,4.1,3.7,2.8,2.1,6.3,11.0,0.22,-31.98,1,0
149,Sao Tome and Principe,STP,2.6,Low,132.0,-147.0,0.7,1.4,0.1,0.0,0.0,0.0,2.1,0.0,5.6,0.0,0.0,0.0,4.9,5.9,5.9,5.3,6.4,3.6,0.0,2.0,1.2,10.0,4.2,6.0,5.3,6.0,4.227814569536424,6.0,4.5,3.6,4.5,5.5,1.0,0.02,-27.61,1,0
150,Saudi Arabia,SAU,3.6,Medium,81.0,-208.0,6.2,3.4,1.8,4.8,0.0,0.0,4.7,4.9,5.6,8.0,2.0,8.0,2.2,1.1,0.5,3.3,0.0,3.1,5.0,0.1,0.7,0.0,1.1,0.5,3.3,4.5,4.227814569536424,4.5,1.8,1.1,3.2,1.1,10.0,0.2,-31.7,0,1
151,Senegal,SEN,4.1,Medium,65.0,-145.2,2.6,4.1,0.1,6.3,3.9,0.0,5.5,4.3,6.2,0.8,1.1,0.0,4.9,6.4,8.5,5.2,3.4,2.9,3.9,2.0,3.1,0.1,1.9,1.8,5.3,5.0,4.7,5.3,5.6,4.8,5.6,6.3,0.0,0.0,-27.22,1,0
152,Serbia,SRB,2.9,Low,116.0,-154.2,1.8,3.3,5.3,7.7,0.0,0.0,0.0,2.2,3.8,0.1,0.1,0.0,3.5,1.6,1.0,2.1,2.2,5.1,7.7,0.2,0.3,0.2,0.7,0.4,3.7,5.3,4.9,5.7,1.6,1.5,1.2,2.2,6.0,0.12,-29.21,1,0
153,Seychelles,SYC,1.5,Very Low,182.0,-158.9,1.2,2.2,0.1,0.0,7.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,1.0,1.5,2.0,1.8,0.1,0.4,0.0,0.1,1.0,0.0,2.0,0.8,2.6,3.7,4.3,3.1,1.4,1.0,0.8,2.5,10.0,0.2,-30.29,1,0
154,Sierra Leone,SLE,4.2,Medium,62.0,-143.0,2.1,3.7,0.1,5.8,2.9,0.0,4.7,0.6,7.7,0.1,0.2,0.0,5.7,7.1,8.8,5.6,5.1,3.8,2.0,6.4,5.4,0.1,6.9,5.2,6.4,5.2,3.5,6.9,7.4,7.3,8.2,6.8,0.0,0.0,-26.81,1,0
155,Singapore,SGP,0.7,Very Low,191.0,-165.6,0.6,1.1,0.1,0.0,0.0,0.0,1.9,0.0,4.6,0.0,0.0,0.0,0.5,0.1,0.0,0.5,0.0,0.9,1.1,0.4,0.2,0.0,1.7,0.6,1.1,1.2,1.2,1.1,0.9,1.1,0.0,1.5,12.0,0.24,-31.65,1,0
156,Slovakia,SVK,2.1,Very Low,157.0,-165.5,1.3,2.4,3.7,6.8,0.0,0.0,0.0,1.1,2.4,0.1,0.1,0.0,2.8,1.0,1.0,1.2,0.6,4.3,6.6,0.1,0.4,0.0,2.1,0.7,2.5,3.9,3.4,4.3,0.9,1.5,0.1,1.0,10.0,0.2,-31.52,1,0
157,Slovenia,SVN,1.6,Very Low,179.0,-162.9,1.7,3.2,5.9,5.6,3.5,0.0,3.0,0.6,1.5,0.0,0.0,0.0,1.4,0.2,0.0,0.5,0.2,2.4,3.9,0.1,0.2,0.2,1.6,0.5,1.6,2.2,0.9,3.5,0.9,1.3,0.1,1.4,9.0,0.18,-31.0,1,0
158,Solomon Islands,SLB,4.5,Medium,50.0,-161.3,3.2,5.4,7.1,0.0,7.8,3.5,6.8,2.9,6.0,0.1,0.1,0.0,4.5,5.9,6.7,3.0,7.2,2.6,1.7,5.3,2.5,0.0,5.2,3.5,6.5,6.5,6.6,6.3,6.4,5.0,7.8,6.4,9.0,0.18,-30.69,1,0
159,Somalia,SOM,8.5,Very High,2.0,-198.6,8.9,6.6,1.2,7.8,6.7,1.7,5.9,10.0,6.5,10.0,10.0,10.0,8.2,7.4,8.9,2.9,9.0,8.8,10.0,2.2,6.8,3.7,9.4,6.4,8.5,9.0,4.227814569536424,9.0,8.0,7.5,7.5,8.9,9.0,0.18,-30.25,0,1
160,South Africa,ZAF,4.5,Medium,50.0,-144.3,4.9,4.2,1.5,3.2,1.0,1.3,2.8,9.1,5.0,5.5,7.8,0.0,4.6,4.2,4.5,7.5,0.4,4.9,5.7,5.6,1.8,5.1,2.7,4.0,4.0,4.7,3.9,5.4,3.3,1.7,3.7,4.5,0.0,0.0,-27.05,1,0
161,South Sudan,SSD,8.5,Very High,2.0,-153.2,7.2,3.8,2.6,7.8,0.0,0.0,0.0,3.3,7.3,9.0,10.0,9.0,9.2,9.1,10.0,6.3,10.0,9.2,10.0,6.4,6.9,10.0,5.7,7.8,9.4,9.3,4.227814569536424,9.3,9.5,9.3,9.6,9.6,9.0,0.18,-29.18,0,1
162,Spain,ESP,2.3,Low,151.0,-163.2,2.3,3.8,2.9,6.4,4.6,0.0,4.9,3.6,2.9,0.4,0.5,0.0,2.9,0.5,0.0,1.7,0.1,4.7,7.3,0.2,0.2,0.0,1.1,0.4,1.8,2.9,2.2,3.6,0.5,1.3,0.0,0.3,9.0,0.18,-31.05,1,0
163,Sri Lanka,LKA,3.1,Low,104.0,-156.2,2.7,4.0,0.1,1.9,8.0,2.2,3.3,3.5,5.5,1.1,1.5,0.0,2.7,2.9,3.2,4.2,0.8,2.4,3.3,0.3,2.6,0.8,2.3,1.5,3.9,4.7,3.6,5.8,2.9,2.0,2.7,4.0,7.0,0.14,-29.64,1,0
164,Sudan,SDN,7.3,Very High,8.0,-141.5,7.2,3.8,0.1,8.6,0.0,0.0,0.8,3.9,6.6,9.0,10.0,9.0,7.9,6.6,8.5,4.9,4.4,8.8,10.0,1.6,5.8,10.0,3.2,6.5,6.7,6.5,4.9,8.1,6.9,6.1,8.3,6.4,0.0,0.0,-26.53,0,1
165,Suriname,SUR,3.0,Low,110.0,-158.9,1.8,3.3,0.1,8.6,0.0,0.0,1.6,1.1,5.6,0.1,0.1,0.0,3.0,3.6,3.7,5.7,1.3,2.4,3.0,1.0,1.4,1.1,3.2,1.7,5.1,6.2,4.227814569536424,6.2,3.7,1.8,3.7,5.7,7.0,0.14,-30.14,1,0
166,Sweden,SWE,1.9,Very Low,166.0,-174.0,1.4,2.5,0.1,6.3,0.0,0.0,5.8,0.6,1.8,0.1,0.2,0.0,3.1,0.2,0.0,0.7,0.1,5.3,8.0,0.1,0.2,0.0,1.4,0.4,1.5,2.1,2.5,1.7,0.9,1.7,0.9,0.2,13.0,0.25,-33.28,1,0
167,Switzerland,CHE,1.4,Very Low,184.0,-168.7,1.2,2.2,4.6,5.9,0.0,0.0,0.0,1.1,1.9,0.1,0.1,0.0,2.8,0.4,0.0,1.1,0.4,4.7,7.3,0.1,0.3,0.2,1.1,0.4,0.9,1.2,0.9,1.4,0.6,1.5,0.0,0.3,11.0,0.22,-32.18,1,0
168,Syria,SYR,7.2,Very High,9.0,-195.4,8.5,5.1,7.2,6.3,2.4,0.0,2.1,7.8,6.0,10.0,10.0,10.0,7.8,6.5,6.5,6.4,6.7,8.8,10.0,0.5,2.0,10.0,7.0,6.5,5.6,6.6,4.6,8.6,4.4,4.1,2.9,6.3,9.0,0.18,-29.76,0,1
169,Tajikistan,TJK,4.4,Medium,54.0,-150.0,4.8,5.0,8.1,6.6,0.0,0.0,0.0,7.6,6.1,4.6,6.6,0.0,3.7,4.6,4.9,3.1,5.4,2.7,3.7,1.5,2.1,0.1,2.7,1.6,4.9,5.8,4.6,6.9,3.8,3.0,4.4,3.9,5.0,0.1,-28.38,1,0
170,Tanzania,TZA,5.1,High,33.0,-144.9,4.1,4.3,4.4,4.2,3.1,0.7,3.2,5.5,7.0,3.9,5.5,0.0,5.5,5.9,8.2,5.7,1.5,5.1,6.1,4.9,3.2,0.8,5.8,3.9,5.9,4.9,3.5,6.3,6.8,5.5,8.3,6.6,0.0,0.0,-27.16,1,0
171,Thailand,THA,4.4,Medium,54.0,-153.1,5.6,5.8,1.7,9.8,5.8,1.6,5.5,5.2,5.4,5.4,7.7,0.0,3.8,1.8,1.6,3.5,0.3,5.3,7.6,1.0,1.2,1.3,2.2,1.4,3.9,5.1,4.7,5.5,2.4,1.1,1.9,4.1,4.0,0.08,-28.9,1,0
172,Timor-Leste,TLS,3.6,Medium,81.0,-153.9,1.8,3.2,5.7,0.0,3.9,0.5,3.3,1.5,5.7,0.1,0.1,0.0,4.6,6.2,7.6,3.0,6.4,2.5,0.0,3.3,5.5,2.7,5.9,4.5,5.7,6.3,6.3,6.3,5.0,4.2,5.3,5.6,5.0,0.1,-29.1,1,0
173,Togo,TGO,4.3,Medium,58.0,-142.8,2.1,2.4,0.1,3.0,0.0,0.0,0.7,2.1,7.3,1.7,2.4,0.0,4.9,6.1,7.8,6.1,2.5,3.5,3.5,4.0,4.1,0.1,4.6,3.4,7.5,8.0,9.2,6.7,6.9,5.9,7.7,7.1,0.0,0.0,-26.77,1,0
174,Tonga,TON,3.3,Medium,94.0,-164.8,2.1,3.8,7.0,0.0,5.7,5.6,0.0,0.5,4.3,0.0,0.0,0.0,4.3,5.1,2.5,5.3,10.0,3.5,0.0,2.0,0.6,10.0,4.0,5.9,4.0,5.1,5.8,4.4,2.6,2.5,0.4,5.0,12.0,0.24,-31.49,1,0
175,Trinidad and Tobago,TTO,2.8,Low,124.0,-160.5,2.0,3.5,5.8,0.0,0.0,5.7,2.7,2.4,5.2,0.1,0.1,0.0,3.4,2.0,1.6,4.6,0.3,4.5,6.2,0.5,1.2,3.3,3.7,2.3,3.2,4.8,4.4,5.2,1.1,1.5,0.3,1.5,9.0,0.18,-30.55,1,0
176,Tunisia,TUN,3.0,Low,110.0,-146.3,2.6,4.1,5.4,3.7,5.9,0.0,6.5,2.4,2.6,0.8,1.2,0.0,2.2,2.5,2.6,2.7,2.2,1.8,3.1,0.3,0.9,0.0,0.2,0.4,4.7,6.1,6.4,5.7,2.8,2.3,2.4,3.8,1.0,0.02,-27.49,1,0
177,Turkey,TUR,4.8,Medium,40.0,-159.8,6.0,5.3,9.3,6.0,5.0,0.0,4.6,0.6,6.0,6.6,9.4,0.0,5.6,1.7,1.2,3.9,0.6,7.9,9.4,0.1,0.5,10.0,0.0,4.9,3.2,4.0,2.1,5.8,2.3,1.9,1.9,3.0,8.0,0.16,-30.35,1,0
178,Turkmenistan,TKM,2.9,Low,116.0,-157.6,2.4,4.1,3.0,8.3,0.0,0.0,4.3,3.8,5.4,0.3,0.4,0.0,1.7,1.5,1.7,2.4,0.1,1.9,2.6,0.3,2.0,0.0,2.2,1.2,5.8,7.5,4.227814569536424,7.5,3.2,3.3,3.3,3.0,7.0,0.14,-29.91,1,0
179,Tuvalu,TUV,3.0,Low,110.0,-184.4,1.3,2.4,0.1,0.0,5.8,0.2,0.0,4.4,3.8,0.0,0.0,0.0,4.7,4.9,4.4,3.5,7.1,4.4,0.0,7.7,1.1,10.0,4.0,7.1,4.6,6.0,4.227814569536424,6.0,2.8,3.0,0.6,4.9,19.0,0.37,-35.32,1,0
180,Uganda,UGA,7.0,Very High,12.0,-146.3,7.2,3.8,3.7,3.9,0.0,0.0,0.0,6.3,8.0,9.0,8.3,9.0,6.9,6.3,8.4,5.8,2.7,7.4,8.8,6.5,2.5,0.7,7.7,5.0,6.9,6.8,4.227814569536424,6.8,7.0,6.4,8.5,6.0,3.0,0.06,-27.58,0,1
181,Ukraine,UKR,5.1,High,33.0,-159.6,5.4,3.1,2.0,6.2,0.0,0.0,5.1,2.4,4.1,7.0,10.0,0.0,5.6,2.1,1.3,1.5,4.3,7.8,10.0,0.9,0.6,0.0,2.2,1.0,4.5,6.3,4.227814569536424,6.3,2.0,1.4,1.4,3.2,9.0,0.18,-30.37,1,0
182,United Arab Emirates,ARE,1.7,Very Low,175.0,-166.3,2.5,4.4,0.1,0.6,6.0,0.4,8.4,5.0,5.4,0.1,0.2,0.0,1.0,0.1,0.0,0.5,0.0,1.9,3.1,0.1,0.5,0.0,1.3,0.5,1.8,2.5,2.1,2.8,1.0,0.2,1.8,1.0,10.0,0.2,-31.68,1,0
183,United Kingdom,GBR,2.1,Very Low,157.0,-170.7,2.1,3.4,0.1,5.7,1.9,0.0,8.3,1.4,1.8,0.6,0.9,0.0,2.7,0.4,0.0,1.6,0.0,4.5,7.1,0.1,0.3,0.0,0.8,0.3,1.6,2.4,2.1,2.6,0.8,1.5,0.0,1.0,12.0,0.24,-32.61,1,0
184,United States of America,USA,3.2,Medium,97.0,-165.4,4.8,6.9,7.7,7.5,7.2,7.7,8.4,3.6,4.1,1.7,2.4,0.0,3.0,0.8,0.0,3.1,0.0,4.8,7.5,0.3,0.3,0.0,0.0,0.2,2.2,2.9,3.0,2.7,1.4,1.9,0.9,1.3,10.0,0.2,-31.51,1,0
185,Uruguay,URY,2.1,Very Low,157.0,-162.7,1.1,2.1,0.1,3.9,0.0,0.0,3.8,2.7,3.0,0.0,0.0,0.0,3.1,1.8,1.8,3.5,0.1,4.2,5.7,0.7,0.4,6.0,0.8,2.4,2.6,3.5,4.0,3.0,1.6,1.1,2.4,1.2,9.0,0.18,-30.95,1,0
186,Uzbekistan,UZB,3.2,Medium,97.0,-156.6,3.0,4.9,7.0,8.3,0.0,0.0,0.0,6.6,5.9,0.6,0.8,0.0,3.0,3.2,3.2,3.0,3.2,2.7,4.4,0.4,0.8,0.0,0.8,0.5,3.6,4.4,2.6,6.2,2.6,1.8,2.9,3.2,7.0,0.14,-29.72,1,0
187,Vanuatu,VUT,4.2,Medium,62.0,-164.7,2.9,5.0,6.2,0.0,7.0,6.4,4.8,4.3,4.3,0.0,0.0,0.0,4.5,5.3,5.9,1.8,7.5,3.6,0.0,3.5,2.2,10.0,2.4,6.0,5.5,5.6,5.4,5.7,5.4,3.7,5.5,7.1,10.0,0.2,-31.38,1,0
188,Venezuela,VEN,4.7,Medium,45.0,-164.9,5.3,5.9,8.2,5.7,5.4,5.6,6.7,1.9,5.8,4.6,6.6,0.0,3.8,4.1,4.2,6.6,1.5,3.4,4.1,1.3,1.3,1.5,5.5,2.6,5.0,5.6,2.5,8.7,4.4,2.9,3.7,6.5,11.0,0.22,-31.46,1,0
189,Viet Nam,VNM,3.7,Medium,78.0,-152.7,4.6,7.3,3.5,9.9,5.9,5.9,9.6,3.4,6.9,0.1,0.2,0.0,2.7,2.8,3.6,3.4,0.7,2.5,3.6,1.1,2.1,0.4,1.3,1.2,4.0,4.7,4.2,5.1,3.3,1.7,3.1,5.1,4.0,0.08,-28.83,1,0
190,Yemen,YEM,7.5,Very High,7.0,-185.9,6.5,4.3,1.7,6.0,3.6,3.5,4.7,2.2,7.0,8.0,10.0,8.0,8.2,7.7,8.9,6.5,6.3,8.6,10.0,1.3,6.9,1.0,8.4,5.3,7.9,8.8,8.5,9.0,6.7,5.9,7.6,6.6,6.0,0.12,-28.19,0,1
191,Zambia,ZMB,3.9,Medium,74.0,-144.2,1.8,3.1,2.4,4.8,0.0,0.0,0.0,4.9,6.5,0.3,0.4,0.0,5.9,6.4,7.9,7.6,2.0,5.3,5.1,7.0,3.5,2.8,7.4,5.5,5.7,5.1,3.5,6.7,6.3,5.2,8.1,5.7,1.0,0.02,-27.08,1,0
192,Zimbabwe,ZWE,4.1,Medium,65.0,-143.2,2.3,3.9,1.8,3.6,0.0,0.0,0.0,9.4,4.9,0.4,0.6,0.0,5.3,5.9,6.9,6.7,2.9,4.6,4.0,4.7,3.0,0.3,9.0,5.2,5.8,5.1,2.6,7.6,6.4,4.9,7.8,6.5,1.0,0.02,-26.91,1,0
