,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,2.4,Low,143,-165.8,2.3,3.9,2.8,7.5,2.5,0.0,7.4,1.5,1.6,0.4,0.6,0.0,3.0,0.4,0.0,1.3,0.2,5.0,7.6,0.2,0.3,0.1,0.6,0.3,1.9,2.8,2.9,2.7,1.0,2.0,0.1,0.8,10,20%,,-31.59
Gabon,GAB,3.2,Medium,97,-151.3,1.7,3.1,0.1,5.6,0.0,0.0,5.1,0.6,6.6,0.1,0.1,0.0,3.4,4.2,5.5,5.3,0.6,2.6,1.0,6.1,2.2,0.1,5.8,4.0,5.9,6.8,6.7,6.9,4.8,2.5,6.1,5.9,4,8%,,-28.57
Gambia,GMB,3.6,Medium,81,-145.7,1.5,2.7,0.1,4.6,1.1,0.0,2.5,2.7,6.0,0.1,0.1,0.0,5.8,7.4,8.3,5.8,7.2,3.5,3.8,2.7,3.2,0.5,5.4,3.1,5.4,4.8,3.0,6.5,6.0,5.7,5.2,7.2,0,0%,,-27.32
Georgia,GEO,3.5,Medium,91,-150.7,2.6,4.5,7.2,6.1,0.0,0.0,5.9,3.9,5.1,0.1,0.2,0.0,5.0,2.9,1.2,3.0,6.2,6.6,9.1,0.5,0.6,1.7,1.1,1.0,3.2,4.4,4.7,4.1,1.7,1.3,1.3,2.4,3,6%,,-28.41
Germany,DEU,2.4,Low,143,-162.9,2.4,4.1,3.7,7.8,0.0,0.0,8.0,1.6,2.0,0.4,0.5,0.0,3.7,0.4,0.0,1.4,0.1,6.0,8.7,0.1,0.2,0.0,0.3,0.2,1.6,2.5,2.7,2.2,0.6,1.5,0.0,0.4,9,18%,,-31.00
Ghana,GHA,3.5,Medium,91,-144.8,2.2,3.2,0.1,4.6,1.7,0.0,4.3,0.6,7.5,1.1,1.5,0.0,4.0,5.2,6.6,5.9,1.8,2.5,3.0,3.5,3.1,0.0,1.0,2.0,4.8,4.5,3.4,5.5,5.1,3.1,6.5,5.7,0,0%,,-27.15
Greece,GRC,2.6,Low,132,-162.7,2.8,4.9,8.1,3.8,7.2,0.0,5.0,0.8,5.0,0.1,0.1,0.0,2.9,0.7,0.3,1.9,0.1,4.6,7.1,0.2,0.3,0.5,1.0,0.5,2.2,3.4,2.3,4.5,0.8,1.8,0.0,0.6,9,18%,,-30.95
Grenada,GRD,2.2,Low,154,-188.1,1.4,2.6,3.4,0.0,0.0,6.0,2.5,0.5,3.7,0.0,0.0,0.0,2.1,3.2,2.1,x,5.4,0.9,0.0,0.1,1.2,0.0,5.0,1.8,3.7,4.8,4.7,4.9,2.5,2.3,0.6,4.5,19,37%,,-36.02
Guatemala,GTM,5.1,High,33,-151.7,4.1,5.8,9.5,4.2,6.8,3.7,3.7,3.5,5.3,1.8,2.6,0.0,6.1,5.7,6.9,6.1,2.8,6.5,7.1,1.0,2.5,10.0,3.2,5.9,5.3,6.3,5.5,7.1,4.2,3.1,4.3,5.1,4,8%,,-28.65
Guinea,GIN,4.5,Medium,50,-148.5,2.8,3.7,0.1,5.5,2.7,0.0,4.9,0.3,8.0,1.8,2.6,0.0,4.7,6.2,9.1,4.8,1.6,2.8,1.6,5.3,5.6,0.3,2.7,3.8,6.9,6.1,5.0,7.2,7.6,6.4,7.9,8.5,3,6%,,-28.00
Guinea-Bissau,GNB,3.9,Medium,74,-146.7,1.4,2.3,0.1,2.7,0.0,0.0,2.1,1.5,7.1,0.3,0.4,0.0,5.4,6.9,8.9,5.4,4.5,3.4,0.0,6.2,4.7,0.0,8.8,5.8,7.9,7.9,7.8,7.9,7.8,6.4,8.7,8.2,2,4%,,-27.61
Guyana,GUY,3.6,Medium,81,-157.0,2.4,4.2,0.1,6.9,2.5,0.0,7.0,3.8,5.3,0.1,0.1,0.0,4.0,3.8,3.4,6.1,2.4,4.1,5.7,3.7,2.1,1.1,0.6,2.0,4.7,5.8,x,5.8,3.4,2.3,4.1,3.9,6,12%,,-29.73
Haiti,HTI,7.2,Very High,9,-151.0,8.0,6.4,8.4,4.6,4.1,8.9,4.5,3.3,7.4,9.0,8.9,9.0,6.6,6.9,8.0,6.3,5.3,6.2,6.8,2.5,3.3,3.5,9.2,5.5,7.2,7.8,6.7,8.9,6.4,6.3,5.1,7.9,4,8%,YES,-28.52
Honduras,HND,4.8,Medium,40,-154.2,3.7,5.7,8.1,5.4,6.4,4.6,4.0,4.4,5.4,1.0,1.4,0.0,5.6,5.7,6.0,5.8,5.1,5.4,7.5,0.9,1.5,1.2,4.7,2.2,5.3,6.2,5.2,7.2,4.3,3.7,3.8,5.4,5,10%,,-29.16
Hungary,HUN,1.9,Very Low,166,-168.0,1.7,3.0,1.8,7.3,0.0,0.0,0.0,2.7,5.4,0.1,0.1,0.0,2.1,1.2,1.1,2.1,0.4,2.9,4.8,0.1,0.3,0.0,1.4,0.5,2.0,3.1,1.4,4.8,0.8,1.5,0.1,0.9,11,22%,,-32.05
Iceland,ISL,1.6,Very Low,179,-173.9,1.3,2.5,5.4,0.0,0.0,0.0,6.5,0.0,2.4,0.0,0.0,0.0,1.6,0.2,0.0,0.5,0.1,2.8,4.6,0.1,0.2,0.0,1.4,0.4,2.0,2.2,x,2.2,1.7,1.4,2.6,1.0,13,25%,,-33.25
India,IND,5.3,High,29,-152.7,7.4,7.7,8.3,9.2,7.8,7.7,7.7,4.4,7.4,7.0,10.0,0.0,4.7,4.3,6.1,4.6,0.4,5.0,6.4,2.4,4.7,0.2,4.6,3.2,4.2,3.5,1.8,5.2,4.8,4.1,4.2,6.0,4,8%,,-28.83
Indonesia,IDN,4.6,Medium,47,-150.7,6.7,7.3,8.9,8.3,9.3,1.5,8.1,2.2,7.0,6.1,8.7,0.0,3.3,3.3,4.1,4.6,0.2,3.3,4.4,2.6,2.8,0.6,1.7,2.0,4.4,4.4,3.3,5.4,4.3,2.1,4.0,6.8,3,6%,,-28.40
Iran,IRN,5.4,High,28,-193.9,7.4,6.6,9.3,7.3,5.5,1.6,7.4,4.8,6.5,8.0,10.0,8.0,4.8,2.6,2.5,5.1,0.2,6.5,8.9,0.1,1.0,1.9,2.1,1.3,4.5,5.8,4.4,7.1,2.9,1.7,3.6,3.5,7,14%,YES,-29.43
Iraq,IRQ,6.7,High,16,-189.3,8.6,5.6,5.0,9.5,0.0,0.0,4.5,6.8,6.9,10.0,10.0,10.0,5.5,3.9,5.0,4.3,1.2,6.7,8.8,0.3,1.4,3.9,4.1,2.6,6.5,8.1,8.4,7.7,4.0,3.4,3.1,5.6,5,10%,YES,-28.65
Ireland,IRL,1.7,Very Low,175,-168.6,1.2,2.2,0.1,3.6,1.8,0.0,5.9,0.6,1.5,0.0,0.0,0.0,2.4,0.3,0.0,1.1,0.0,4.1,6.6,0.2,0.2,0.0,0.0,0.1,1.6,2.2,x,2.2,1.0,1.7,0.5,0.8,11,22%,,-32.16
Israel,ISR,1.8,Very Low,172,-172.8,2.0,3.5,6.9,0.3,2.7,0.0,2.4,5.3,4.1,0.3,0.4,0.0,1.6,0.6,0.0,2.3,0.1,2.5,4.4,0.1,0.3,0.0,0.0,0.1,1.9,3.1,x,3.1,0.6,1.4,0.0,0.4,13,25%,,-33.05
Italy,ITA,2.5,Low,139,-163.2,2.9,5.0,7.7,6.2,6.2,0.0,6.5,2.3,2.6,0.1,0.2,0.0,2.6,0.5,0.1,1.7,0.1,4.3,6.8,0.1,0.2,0.1,0.2,0.2,2.1,3.4,2.4,4.4,0.6,1.5,0.0,0.4,9,18%,,-31.05
Jamaica,JAM,2.9,Low,116,-162.0,2.9,5.0,7.9,0.0,0.0,8.2,5.4,2.5,5.5,0.1,0.2,0.0,2.3,3.7,3.8,4.5,2.8,0.6,0.0,0.9,0.8,0.0,3.0,1.2,3.6,4.1,3.3,4.9,3.0,2.3,1.9,4.9,9,18%,,-30.83
Japan,JPN,2.3,Low,151,-161.8,5.5,8.3,9.7,7.8,10.0,9.2,9.4,0.6,3.5,0.1,0.2,0.0,1.5,0.4,0.0,1.6,0.0,2.4,3.6,0.1,0.5,0.0,2.8,0.9,1.5,2.2,1.9,2.5,0.8,1.2,0.1,1.1,9,18%,,-30.78
Jordan,JOR,3.8,Medium,76,-155.5,2.1,3.3,7.3,0.4,0.0,0.0,0.2,6.7,3.9,0.7,1.0,0.0,6.2,3.8,2.3,4.3,6.1,7.8,10.0,0.1,0.9,0.0,4.3,1.5,4.2,5.5,6.1,4.9,2.7,2.2,2.4,3.5,6,12%,,-29.46
Kazakhstan,KAZ,3.2,Medium,97,-184.4,6.4,4.0,5.6,7.6,0.0,0.0,0.0,6.1,3.9,8.0,0.2,8.0,1.4,1.0,1.3,1.4,0.1,1.8,3.0,0.6,0.6,0.1,0.2,0.4,3.6,4.8,3.8,5.7,2.2,1.2,3.5,1.9,3,6%,YES,-27.82
Kenya,KEN,6.6,High,19,-178.7,8.3,4.1,2.7,5.1,3.1,0.0,2.7,6.6,6.3,10.0,9.3,10.0,5.9,5.6,7.5,5.3,2.1,6.1,7.6,3.6,2.6,0.9,7.2,4.0,5.8,5.1,3.9,6.3,6.5,4.2,8.1,7.1,0,0%,YES,-26.81
Kiribati,KIR,3.7,Medium,78,-172.4,2.5,4.4,0.1,0.0,7.7,0.0,8.4,3.6,4.8,0.0,0.0,0.0,4.1,5.2,6.4,0.7,7.4,2.7,0.0,8.9,2.6,0.0,3.4,4.8,4.8,5.0,x,5.0,4.6,4.5,3.7,5.6,13,25%,,-32.97
Korea DPR,PRK,4.1,Medium,65,#ERROR!,2.7,4.5,4.4,6.4,0.9,5.7,6.3,3.5,2.9,0.3,0.4,0.0,3.8,4.6,6.9,x,0.1,3.0,0.0,3.9,1.7,0.0,9.5,5.2,6.7,8.2,x,8.2,4.4,6.0,3.4,3.9,#ERROR!,#ERROR!,,-34.58
Korea Republic of,KOR,1.9,Very Low,166,-162.9,3.6,6.0,6.9,7.1,5.7,8.3,7.1,0.3,2.9,0.1,0.1,0.0,1.2,0.4,0.0,1.3,0.1,2.0,3.4,0.3,0.2,0.0,1.0,0.4,1.5,2.3,1.5,3.0,0.7,0.9,0.0,1.1,9,18%,,-31.00
Kuwait,KWT,2.5,Low,139,-174.1,1.4,2.3,0.1,3.7,0.0,0.0,5.2,1.6,3.6,0.3,0.4,0.0,3.0,1.7,1.4,4.1,0.0,4.2,6.7,0.2,0.7,0.0,0.6,0.4,3.7,5.5,x,5.5,1.2,0.7,1.6,1.3,13,25%,,-33.30
Kyrgyzstan,KGZ,3.1,Low,104,-150.1,2.6,3.9,7.7,4.7,0.0,0.0,0.0,5.4,5.0,1.1,1.6,0.0,2.7,3.4,2.6,3.0,5.4,2.0,2.7,1.7,0.9,0.1,2.1,1.2,4.2,5.3,3.7,6.9,2.9,1.5,3.3,3.9,3,6%,,-28.30
Lao PDR,LAO,3.5,Medium,91,-150.1,2.2,3.7,2.8,8.2,0.0,1.4,0.0,2.4,6.4,0.4,0.5,0.0,3.4,5.1,6.8,4.9,1.9,1.2,0.0,1.6,4.0,0.4,2.3,2.2,5.7,6.4,6.1,6.6,4.9,3.4,4.8,6.4,4,8%,,-28.34
Latvia,LVA,2.4,Low,143,-164.1,1.3,2.3,0.1,6.6,0.0,0.0,3.6,2.2,1.2,0.1,0.1,0.0,4.2,1.1,0.7,2.4,0.6,6.4,9.0,0.7,0.2,0.0,1.0,0.5,2.5,3.7,x,3.7,1.1,1.3,0.7,1.4,9,18%,,-31.22
Lebanon,LBN,4.1,Medium,65,-160.5,2.1,3.5,8.2,0.0,3.9,0.0,3.2,1.6,3.8,0.5,0.7,0.0,7.1,4.9,3.9,3.8,7.8,8.5,10.0,0.1,0.7,10.0,1.3,5.2,4.5,6.2,4.7,7.6,2.3,2.2,0.5,4.3,8,16%,,-30.49
Lesotho,LSO,3.6,Medium,81,-146.5,1.2,2.1,0.1,2.1,0.0,0.0,0.0,6.4,3.3,0.1,0.2,0.0,5.5,6.5,7.4,6.2,5.1,4.2,1.1,7.3,4.0,0.0,9.4,6.3,6.9,7.5,8.4,6.6,6.1,5.1,6.5,6.7,1,2%,,-27.51
Liberia,LBR,4.5,Medium,50,-146.1,2.1,3.8,0.1,7.4,2.4,0.0,4.1,0.6,7.3,0.1,0.2,0.0,5.7,7.2,8.7,5.6,5.9,3.7,1.4,5.8,4.1,0.1,8.7,5.5,7.8,7.6,x,7.6,8.0,7.7,7.7,8.5,2,4%,,-27.50
Libya,LBY,4.8,Medium,40,-159.5,4.0,3.3,1.4,0.6,5.4,0.0,5.4,5.0,3.0,4.6,6.6,0.0,4.0,3.0,3.4,3.5,1.6,4.9,7.3,0.5,1.7,0.0,1.5,0.9,6.8,8.4,x,8.4,4.4,6.3,3.5,3.4,10,20%,,-30.40
Liechtenstein,LIE,1.0,Very Low,190,-217.8,0.8,1.6,5.0,3.6,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.9,0.0,0.0,x,0.0,1.7,3.0,x,0.0,0.0,0.4,0.1,1.4,2.0,x,2.0,0.7,1.4,0.0,x,27,53%,,-41.58
Lithuania,LTU,1.9,Very Low,166,-163.3,1.2,2.2,0.1,5.8,0.0,0.0,3.3,2.9,1.5,0.1,0.1,0.0,2.7,0.8,0.5,2.1,0.2,4.2,6.7,0.3,0.5,0.0,0.9,0.4,2.2,3.4,x,3.4,0.7,1.2,0.4,0.6,9,18%,,-31.06
Luxembourg,LUX,1.1,Very Low,189,-167.6,0.5,1.0,0.1,2.9,0.0,0.0,0.0,1.1,2.2,0.0,0.0,0.0,2.0,0.5,0.0,1.4,0.5,3.3,5.4,0.2,0.2,0.0,1.2,0.4,1.4,2.0,x,2.0,0.7,1.1,0.1,0.8,11,22%,,-31.98
Madagascar,MDG,5.5,High,27,-145.0,4.0,5.6,0.1,6.1,6.3,6.7,6.3,4.7,7.0,2.0,2.8,0.0,5.7,6.7,8.9,5.9,2.9,4.4,1.7,4.5,5.1,2.1,9.6,6.3,7.1,6.0,4.7,7.2,8.0,6.6,9.4,8.1,0,0%,,-27.19
Malawi,MWI,4.4,Medium,54,-145.5,2.2,3.9,6.1,4.7,0.0,0.0,0.0,6.0,6.5,0.2,0.3,0.0,6.2,6.3,8.3,5.4,3.3,6.0,5.0,5.9,3.0,10.0,4.1,6.9,6.3,5.3,4.0,6.6,7.1,7.4,7.5,6.5,0,0%,,-27.29
Malaysia,MYS,2.9,Low,116,-160.6,2.6,4.5,1.9,6.8,5.4,0.0,6.4,2.8,5.5,0.2,0.3,0.0,3.4,1.9,1.9,3.6,0.0,4.6,6.8,0.6,1.9,0.4,1.9,1.2,2.9,3.4,2.6,4.2,2.4,1.1,2.9,3.1,8,16%,,-30.51
Maldives,MDV,2.2,Low,154,-162.2,1.5,2.8,0.1,0.0,9.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.0,2.9,2.4,2.9,3.8,1.0,0.0,0.6,1.9,0.1,4.4,1.9,3.7,5.5,5.8,5.1,1.4,1.3,0.1,2.7,10,20%,,-30.91
Mali,MLI,6.8,Very High,15,-143.3,7.2,3.8,0.1,7.9,0.0,0.0,0.0,5.7,6.8,9.0,9.6,9.0,6.7,7.1,9.5,5.5,3.7,6.3,7.7,4.1,5.8,3.9,2.9,4.3,6.5,6.1,4.9,7.3,6.8,6.5,6.3,7.6,0,0%,YES,-26.86
Malta,MLT,1.7,Very Low,175,-170.2,0.9,1.7,0.1,0.0,5.8,0.0,0.7,0.0,3.2,0.0,0.0,0.0,2.1,0.5,0.0,1.9,0.2,3.4,5.4,0.1,0.4,0.0,2.5,0.8,2.6,4.1,x,4.1,0.8,1.6,0.0,0.8,12,24%,,-32.51
Marshall Islands,MHL,4.1,Medium,65,-173.7,2.5,4.4,0.1,0.0,6.8,1.8,8.5,4.6,3.5,0.0,0.0,0.0,4.3,5.2,5.2,2.6,7.9,3.2,0.0,7.0,2.5,5.3,6.2,5.5,6.3,7.7,7.3,8.0,4.2,3.7,1.4,7.4,16,31%,,-33.32
Mauritania,MRT,4.3,Medium,58,-146.2,2.3,4.0,0.4,6.1,1.1,0.0,4.4,6.6,6.1,0.2,0.3,0.0,5.6,6.3,8.3,5.2,3.2,4.8,6.8,1.2,4.1,0.3,1.8,2.0,6.1,5.8,4.8,6.8,6.4,4.6,7.1,7.4,1,2%,,-27.46
Mauritius,MUS,2.1,Very Low,157,-160.2,1.7,3.0,0.1,0.0,4.5,7.8,0.0,0.8,3.7,0.1,0.1,0.0,1.9,3.0,2.0,3.8,4.1,0.6,0.0,1.1,1.3,0.2,2.0,1.2,2.8,3.7,3.2,4.2,1.7,1.9,0.2,3.1,8,16%,,-30.45
Mexico,MEX,4.9,High,37,-152.7,6.8,6.5,8.2,7.8,5.5,7.1,6.3,3.3,5.6,7.0,10.0,7.0,4.0,3.2,3.7,4.6,0.6,4.8,7.3,0.8,1.0,0.0,0.9,0.7,4.4,5.7,5.1,6.3,2.8,2.2,3.0,3.2,4,8%,YES,-28.83
Micronesia,FSM,3.2,Medium,97,-178.1,1.7,3.1,0.1,0.0,5.9,2.3,3.1,5.4,2.7,0.0,0.0,0.0,3.8,5.3,5.4,3.8,6.7,1.9,0.0,4.2,1.9,0.0,6.2,3.4,5.1,5.4,6.0,4.8,4.8,5.6,2.7,6.0,17,33%,,-34.14
Moldova Republic of,MDA,3.1,Low,104,-152.8,1.8,3.2,5.8,4.5,0.0,0.0,0.0,4.6,4.9,0.1,0.1,0.0,3.9,2.9,2.4,1.5,5.2,4.7,7.2,1.1,0.8,0.0,0.9,0.7,4.4,6.1,6.2,6.0,2.1,1.9,1.4,2.9,6,12%,,-28.96
Mongolia,MNG,2.9,Low,116,-152.4,1.7,3.0,2.1,6.7,0.0,0.0,0.0,6.5,1.7,0.1,0.1,0.0,3.3,3.7,4.4,3.1,2.7,2.9,0.0,2.7,0.8,9.1,2.9,5.0,4.5,5.7,5.1,6.3,3.0,1.2,5.4,2.4,4,8%,,-28.77
Montenegro,MNE,2.7,Low,128,-154.4,1.7,3.1,5.5,1.3,6.1,0.0,3.0,1.6,2.3,0.1,0.1,0.0,3.6,2.9,2.0,2.3,5.3,4.3,6.8,0.2,0.5,0.0,0.2,0.2,3.1,4.7,4.0,5.3,1.2,0.8,0.7,2.2,5,10%,,-29.19
Morocco,MAR,3.6,Medium,81,-145.9,3.2,4.3,4.4,5.0,4.5,0.0,5.0,6.4,3.5,2.0,2.8,0.0,3.2,4.0,4.8,4.7,1.6,2.2,3.5,0.5,1.0,0.0,0.8,0.6,4.7,5.7,5.6,5.7,3.4,2.3,3.5,4.4,1,2%,,-27.40
Mozambique,MOZ,6.7,High,16,-146.8,6.1,5.0,3.3,6.0,3.8,2.7,5.5,5.7,6.7,7.0,9.8,7.0,7.9,7.7,9.3,7.3,4.7,8.0,8.8,8.2,4.4,5.9,7.9,6.9,6.2,4.6,2.1,7.0,7.4,7.5,8.0,6.6,1,2%,YES,-27.58
Myanmar,MMR,7.1,Very High,11,-184.5,9.0,7.2,8.2,8.8,8.3,5.8,8.0,0.6,6.8,10.0,10.0,10.0,6.1,5.1,7.4,4.0,1.7,6.9,9.0,3.3,3.8,1.7,1.9,2.7,6.6,7.5,7.1,7.8,5.4,3.6,5.2,7.4,3,6%,YES,-27.83
Namibia,NAM,3.8,Medium,76,-142.8,2.3,4.1,0.1,5.1,0.0,0.0,1.2,9.4,5.0,0.1,0.2,0.0,4.8,5.8,7.3,7.2,1.4,3.5,3.5,5.1,3.0,0.1,4.5,3.4,5.0,4.7,4.3,5.0,5.3,3.8,6.6,5.4,2,4%,,-26.88
Nauru,NRU,2.6,Low,132,-194.8,1.0,1.9,0.1,0.0,6.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,3.5,3.4,2.2,1.9,7.1,3.5,2.5,6.8,2.1,0.0,6.2,4.3,5.3,7.0,8.1,5.8,2.9,2.6,1.3,4.7,21,41%,,-37.28
Nepal,NPL,4.1,Medium,65,-150.5,3.2,5.1,9.8,6.9,0.0,0.0,0.0,2.9,6.6,0.6,0.8,0.0,4.1,5.3,6.5,4.0,4.2,2.7,3.6,2.3,3.2,0.1,1.4,1.8,5.4,6.1,5.4,6.7,4.5,3.7,4.4,5.3,3,6%,,-28.37
Netherlands,NLD,2.1,Very Low,157,-162.2,2.9,5.0,1.8,8.6,0.0,0.0,10.0,0.6,1.9,0.1,0.1,0.0,2.6,0.1,0.0,0.3,0.1,4.6,7.1,0.1,0.3,0.0,1.0,0.4,1.2,1.8,1.7,1.8,0.6,1.5,0.1,0.3,9,18%,,-30.86
New Zealand,NZL,1.4,Very Low,184,-171.4,2.1,3.8,6.0,3.7,5.4,1.8,4.4,2.1,2.2,0.0,0.0,0.0,0.8,0.3,0.0,1.2,0.1,1.3,1.9,0.1,0.4,0.3,1.8,0.7,1.8,2.2,2.6,1.8,1.4,1.6,2.0,0.7,12,24%,,-32.74
Nicaragua,NIC,4.1,Medium,65,-153.7,3.5,5.8,8.2,4.9,7.2,4.2,4.3,3.7,6.1,0.2,0.3,0.0,3.7,5.5,5.9,5.5,4.8,1.3,0.9,0.9,1.0,0.0,4.4,1.7,5.3,6.1,4.7,7.4,4.4,3.6,5.1,4.4,6,12%,,-29.12
Niger,NER,6.6,High,19,-146.0,5.3,3.4,0.1,6.6,0.0,0.0,0.0,5.0,7.1,6.7,9.5,0.0,7.6,7.5,10.0,5.6,4.5,7.6,8.2,3.7,8.3,8.8,3.8,6.8,7.3,5.9,5.2,6.5,8.3,8.2,9.7,7.1,2,4%,,-27.47
