COUNTRY,ISO3,Population
Afghanistan,AFG,42239854
Albania,ALB,2832439
Algeria,DZA,45606480
Angola,AGO,36684202
Antigua and Barbuda,ATG,94298
Argentina,ARG,45773884
Armenia,ARM,2777970
Australia,AUS,26439111
Austria,AUT,8958960
Azerbaijan,AZE,10412652
Bahamas,BHS,412623
Bahrain,BHR,1485509
Bangladesh,BGD,172954319
Barbados,BRB,281996
Belarus,BLR,9498238
Belgium,BEL,11686140
Belize,BLZ,410825
Benin,BEN,13712828
Bhutan,BTN,787424
Bolivia,BOL,12388571
Bosnia and Herzegovina,BIH,3210847
Botswana,BWA,2675352
Brazil,BRA,216422446
Brunei Darussalam,BRN,452524
Bulgaria,BGR,6687717
Burkina Faso,BFA,23251485
Burundi,BDI,13238559
Cabo Verde,CPV,598682
Cambodia,KHM,16944826
Cameroon,CMR,28647293
Canada,CAN,38781292
Central African Republic,CAF,5742316
Chad,TCD,18278568
Chile,CHL,19629590
China,CHN,1425671352
Colombia,COL,52085168
Comoros,COM,852075
Congo,COG,6106869
Congo DR,COD,102262808
Costa Rica,CRI,5212173
C̫te d'Ivoire,CIV,28873034
Croatia,HRV,4008616
Cuba,CUB,11194449
Cyprus,CYP,1260138
Czech Republic,CZE,10495295
Denmark,DNK,5910913
Djibouti,DJI,1136455
Dominica,DMA,73040
Dominican Republic,DOM,11332972
Ecuador,ECU,18190484
Egypt,EGY,112716598
El Salvador,SLV,6364942
Equatorial Guinea,GNQ,1714671
Eritrea,ERI,3748902
Estonia,EST,1322765
Eswatini,SWZ,1210822
Ethiopia,ETH,126527060
Fiji,FJI,936376
Finland,FIN,5545474
France,FRA,64756584
Gabon,GAB,2436566
Gambia,GMB,2773168
Georgia,GEO,3728282
Germany,DEU,83294633
Ghana,GHA,34121985
Greece,GRC,10341277
Grenada,GRD,126183
Guatemala,GTM,18092026
Guinea,GIN,14190612
Guinea-Bissau,GNB,2150842
Guyana,GUY,813834
Haiti,HTI,11724763
Honduras,HND,10593798
Hungary,HUN,10156239
Iceland,ISL,375318
India,IND,1428627663
Indonesia,IDN,277534122
Iran,IRN,89172767
Iraq,IRQ,45504560
Ireland,IRL,5056934
Israel,ISR,9174520
Italy,ITA,58870762
Jamaica,JAM,2825544
Japan,JPN,123294513
Jordan,JOR,11337052
Kazakhstan,KAZ,19606634
Kenya,KEN,55100586
Kiribati,KIR,133515
Korea DPR,PRK,26160821
Korea Republic of,KOR,51784059
Kuwait,KWT,4310108
Kyrgyzstan,KGZ,6735348
Lao PDR,LAO,7633778
Latvia,LVA,1830211
Lebanon,LBN,5353930
Lesotho,LSO,2330318
Liberia,LBR,5418376
Libya,LBY,6888388
Liechtenstein,LIE,39584
Lithuania,LTU,2718352
Luxembourg,LUX,654768
Madagascar,MDG,30325732
Malawi,MWI,20931751
Malaysia,MYS,34308525
Maldives,MDV,521021
Mali,MLI,23293698
Malta,MLT,535064
Marshall Islands,MHL,41996
Mauritania,MRT,4862989
Mauritius,MUS,1300557
Mexico,MEX,128455566
Micronesia,FSM,115224
Moldova Republic of,MDA,3435931
Mongolia,MNG,3447156
Montenegro,MNE,626484
Morocco,MAR,37840044
Mozambique,MOZ,33897354
Myanmar,MMR,54577997
Namibia,NAM,2604172
Nauru,NRU,12780
Nepal,NPL,30896590
Netherlands,NLD,17618299
New Zealand,NZL,5228100
Nicaragua,NIC,7046310
Niger,NER,27202843
Nigeria,NGA,223804632
North Macedonia,MKD,2085679
Norway,NOR,5474360
Oman,OMN,4644384
Pakistan,PAK,240485658
Palau,PLW,18058
Palestine,PSE,5371230
Panama,PAN,4468086
Papua New Guinea,PNG,10329930
Paraguay,PRY,6861524
Peru,PER,34352719
Philippines,PHL,117337368
Poland,POL,41026067
Portugal,PRT,10247605
Qatar,QAT,2716391
Romania,ROU,19892812
Russian Federation,RUS,144444359
Rwanda,RWA,14094683
Saint Kitts and Nevis,KNA,47755
Saint Lucia,LCA,180251
Saint Vincent and the Grenadines,VCT,103698
Samoa,WSM,225681
Sao Tome and Principe,STP,231856
Saudi Arabia,SAU,36947025
Senegal,SEN,17763163
Serbia,SRB,7149076
Seychelles,SYC,107660
Sierra Leone,SLE,8791092
Singapore,SGP,6014723
Slovakia,SVK,5795199
Slovenia,SVN,2119674
Solomon Islands,SLB,740424
Somalia,SOM,18143378
South Africa,ZAF,60414494
South Sudan,SSD,11088796
Spain,ESP,47519628
Sri Lanka,LKA,21893579
Sudan,SDN,48109006
Suriname,SUR,623236
Sweden,SWE,10612086
Switzerland,CHE,8796669
Syria,SYR,23227014
Tajikistan,TJK,10143543
Tanzania,TZA,67438106
Thailand,THA,71801279
Timor-Leste,TLS,1360596
Togo,TGO,9053799
Tonga,TON,107773
Trinidad and Tobago,TTO,1534937
Tunisia,TUN,12458223
Turkey,TUR,85816199
Turkmenistan,TKM,6516100
Tuvalu,TUV,11396
Uganda,UGA,48582334
Ukraine,UKR,36744634
United Arab Emirates,ARE,9516871
United Kingdom,GBR,67736802
United States of America,USA,339996563
Uruguay,URY,3423108
Uzbekistan,UZB,35163944
Vanuatu,VUT,334506
Venezuela,VEN,28838499
Viet Nam,VNM,98858950
Yemen,YEM,34449825
Zambia,ZMB,20569737
Zimbabwe,ZWE,16665409